Metric,Mean,Width,Min,Max,Autocorr
Nq_CheckIn,0.0016999883383049864,2.562366272346231E-4,0.0014437517110703632,0.0019562249655396095,0.011273138684706101
Nq_Recupero,0.0,0.0,0.0,0.0,0.0
Nq_TraceDetection,0.13144056247708022,0.004648862870970502,0.12679169960610973,0.1360894253480507,-0.12337867969973437
Nq_Varchi,0.09168580949494802,9.212389746033823E-4,0.09076457052034463,0.09260704846955141,0.1640334670528134
Nq_XRay,0.17325013320924956,0.004442611775216871,0.1688075214340327,0.17769274498446644,-0.07684618093787683
Ns_CheckIn,2.5790710611142935,0.013309636680210254,2.565761424434083,2.592380697794504,-0.09438050667895422
Ns_Recupero,7.941678919425001,0.025441984371338926,7.916236935053662,7.9671209037963395,0.16002719028248402
Ns_TraceDetection,0.5214898299378236,0.00813722674054025,0.5133526031972833,0.5296270566783639,-0.1633468292658713
Ns_Varchi,0.951297357991466,0.003364855529079765,0.9479325024623863,0.9546622135205457,0.09976481148730207
Ns_XRay,3.3315124123875304,0.01333508632672886,3.3181773260608014,3.3448474987142593,0.00913032741075106
X_CheckIn,2.5773710727759886,0.013267852726637242,2.5641032200493514,2.590638925502626,-0.09405463035288192
X_Recupero,7.941678919425001,0.025441984371338926,7.916236935053662,7.9671209037963395,0.16002719028248402
X_TraceDetection,0.39004926746074337,0.00441868461133086,0.3856305828494125,0.39446795207207425,-0.22031100539743687
X_Varchi,0.8596115484965179,0.002715540071988042,0.8568960084245298,0.8623270885685059,0.05107426462335423
X_XRay,3.158262279178279,0.009917997661146313,3.1483442815171325,3.168180276839425,0.03744707544234297
