Center,Metric,Model,SimValueMean,SimValueMin,SimValueMax,SimIntvlWidth,TheoValue,WithinIntvl
CheckIn,Response time,M/M/8,105.15026871913318,104.49066618412026,105.8098712541461,0.6596025350129181,105.10695177619662,within
CheckIn,Queue time,M/M/8,0.09472946109495874,0.07073221320184908,0.11872670898806839,0.023997247893109662,105.10695177619662,not within
CheckIn,Num in center,M/M/8,2.5952767798162277,2.5731688637993537,2.6173846958331017,0.022107916016874084,105.10695177619662,not within
CheckIn,Num in queue,M/M/8,0.002349116879670991,0.001754537671943007,0.002943696087398975,5.94579207727984E-4,105.10695177619662,not within
CheckIn,Utilization,M/M/8,2.5929276629365567,2.570886830872086,2.6149684950010275,0.0220408320644709,105.10695177619662,not within
Varchi,Response time,M/M/4,13.975345700748312,13.875220636692266,14.075470764804358,0.1001250640560465,12.030184625982978,not within
Varchi,Queue time,M/M/4,1.9875490019953945,1.9442915893480754,2.0308064146427136,0.04325741264731918,12.030184625982978,not within
Varchi,Num in center,M/M/4,0.8912527242300009,0.8823084599365266,0.9001969885234752,0.008944264293474226,12.030184625982978,not within
Varchi,Num in queue,M/M/4,0.12683922169259088,0.12378416628300754,0.12989427710217422,0.003055055409583345,12.030184625982978,not within
Varchi,Utilization,M/M/4,0.76441350253741,0.7577420077516311,0.7710849973231889,0.00667149478577886,12.030184625982978,not within
XRay,Response time,k*M/M/1 (RoundRobin),60.25373553754377,59.48376508721723,61.02370598787031,0.7699704503265382,86.04515185611649,not within
XRay,Queue time,k*M/M/1 (RoundRobin),14.933447091012068,14.37427623442008,15.492617947604057,0.5591708565919882,86.04515185611649,not within
XRay,Num in center,k*M/M/1 (RoundRobin),3.844186722453335,3.7830809084958124,3.9052925364108577,0.061105813957522494,86.04515185611649,not within
XRay,Num in queue,k*M/M/1 (RoundRobin),0.9544348323650781,0.915761803510381,0.9931078612197752,0.03867302885469711,86.04515185611649,not within
XRay,Utilization,k*M/M/1 (RoundRobin),2.8897518900882573,2.863986355777311,2.9155174243992037,0.02576553431094635,86.04515185611649,not within
TraceDetection,Response time,M/M/1,97.36553957375133,96.05442927741801,98.67664987008466,1.311110296333323,97.02693462647845,within
TraceDetection,Queue time,M/M/1,37.269714610274946,36.20575144298632,38.33367777756357,1.0639631672886254,97.02693462647845,not within
TraceDetection,Num in center,M/M/1,0.6222181693966811,0.6120826037444814,0.6323537350488807,0.010135565652199668,97.02693462647845,not within
TraceDetection,Num in queue,M/M/1,0.23834005023279606,0.23094048882125107,0.24573961164434105,0.007399561411544999,97.02693462647845,not within
TraceDetection,Utilization,M/M/1,0.383878119163885,0.38026190172345326,0.3874943366043167,0.003616217440431729,97.02693462647845,not within
Recupero,Response time,M/M/inf,120.05763520629922,119.34786890937528,120.76740150322317,0.7097662969239392,120.0,within
Recupero,Num in center,M/M/inf,7.6556486260902945,7.588421738897443,7.722875513283146,0.06722688719285154,120.0,not within
